,worker_id,label,reward,value_surplus,seq_length,front_amount
214,434999,0,reward_12m_185,60,12m,185
215,435000,0,reward_12m_185,60,12m,185
216,435002,0,reward_12m_185,55,12m,185
217,435003,1,reward_12m_185,55,12m,185
218,435004,0,reward_12m_185,55,12m,185
219,435005,0,reward_12m_185,53,12m,185
220,435008,1,reward_12m_185,35,12m,185
221,435009,0,reward_12m_185,65,12m,185
222,435010,0,reward_12m_185,60,12m,185
223,435011,0,reward_12m_185,115,12m,185
224,435013,0,reward_12m_185,58,12m,185
225,435015,0,reward_12m_185,60,12m,185
226,435016,0,reward_12m_185,60,12m,185
227,435017,0,reward_12m_185,60,12m,185
228,435018,0,reward_12m_185,60,12m,185
229,435019,1,reward_12m_185,45,12m,185
230,435020,0,reward_12m_185,50,12m,185
231,435021,0,reward_12m_185,55,12m,185
232,435022,1,reward_12m_185,45,12m,185
233,435024,1,reward_12m_185,45,12m,185
234,435026,1,reward_12m_185,15,12m,185
235,435027,0,reward_12m_185,60,12m,185
236,435028,0,reward_12m_185,60,12m,185
237,435029,0,reward_12m_185,60,12m,185
238,435030,1,reward_12m_185,60,12m,185
239,435031,1,reward_12m_185,5,12m,185
240,435032,1,reward_12m_185,15,12m,185
241,435033,1,reward_12m_185,15,12m,185
242,435035,0,reward_12m_185,60,12m,185
243,435036,1,reward_12m_185,15,12m,185
244,435038,0,reward_12m_185,55,12m,185
245,435039,0,reward_12m_185,50,12m,185
246,435040,0,reward_12m_185,60,12m,185
247,435041,0,reward_12m_185,60,12m,185
248,435042,1,reward_12m_185,35,12m,185
249,435043,0,reward_12m_185,60,12m,185
250,435045,0,reward_12m_185,65,12m,185
251,435046,1,reward_12m_185,30,12m,185
252,435049,1,reward_12m_185,20,12m,185
253,435052,0,reward_12m_185,50,12m,185
254,435053,0,reward_12m_185,55,12m,185
255,435054,0,reward_12m_185,60,12m,185
256,435055,0,reward_12m_185,60,12m,185
257,435056,1,reward_12m_185,35,12m,185
258,435057,0,reward_12m_185,55,12m,185
259,435060,1,reward_12m_185,30,12m,185
260,435062,0,reward_12m_185,60,12m,185
261,435063,1,reward_12m_185,15,12m,185
