worker_id,label,reward_12m_105,reward_12m_185,reward_12m_25,reward_12m_265,reward_12m_345,reward_12m_425,reward_12m_505,reward_6m_105,reward_6m_185,reward_6m_25,reward_6m_265,reward_6m_345,reward_6m_425,reward_6m_505
435084,1,0,0,0,0,0,0,0,45,15,25,35,0,0,20
435086,0,85,65,75,85,105,75,95,95,65,75,85,105,75,95
435087,0,65,65,65,85,65,75,65,75,65,75,85,55,75,65
435089,0,55,55,60,50,50,50,50,55,55,60,-45,55,55,55
435092,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435093,1,60,-5,60,60,60,60,0,60,0,60,0,60,50,0
435095,0,45,60,50,60,60,45,45,60,60,60,60,60,60,60
435096,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435097,0,60,-40,60,60,60,60,60,60,60,60,60,60,60,60
435098,1,55,55,55,35,55,25,45,55,55,55,35,55,25,45
435099,0,65,65,65,65,55,65,65,65,65,55,65,55,65,65
435100,1,45,55,50,35,55,25,45,45,45,55,35,35,35,45
435101,1,35,15,35,25,35,-265,25,35,35,60,15,25,25,15
435103,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435104,1,25,15,15,15,30,15,45,20,15,20,25,25,25,45
435105,0,60,60,60,60,60,160,60,60,60,60,60,60,60,60
435106,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435107,1,45,25,25,35,30,25,45,45,25,35,35,40,40,45
435108,1,35,45,45,35,25,30,30,30,45,45,10,10,30,45
435110,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435111,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435113,1,35,45,50,35,35,35,35,35,35,50,35,35,45,35
435114,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435115,0,55,55,55,45,50,75,45,45,45,55,45,45,50,45
435116,0,95,90,75,85,80,95,95,95,65,75,65,85,95,95
435117,0,65,-40,60,65,65,60,65,60,60,60,70,60,50,60
435118,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435119,1,45,35,25,45,35,45,45,45,45,35,45,55,25,45
435120,0,80,75,75,135,105,75,95,95,75,75,85,105,75,95
435121,0,75,35,75,35,55,75,45,75,55,75,55,55,75,75
435122,0,60,60,60,60,60,60,60,60,50,60,60,60,60,60
435123,1,35,35,55,35,15,25,35,45,15,45,35,45,25,45
435124,1,55,55,60,55,55,35,45,60,55,60,55,15,45,15
435130,0,45,35,45,35,35,75,45,45,40,55,35,55,55,45
435131,0,55,55,55,55,55,55,55,55,55,55,55,55,55,55
435132,1,0,0,35,0,0,0,0,-45,0,35,0,0,0,0
